,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
minimum,"[1540.         1524.6        1509.354      1494.26046    1479.3178554
 1464.52467685 1449.87943008 1435.38063578 1421.02682942 1406.81656112
 1392.74839551 1378.82091156 1365.03270244 1351.38237542 1337.86855166
 1324.48986615 1311.24496749 1298.13251781 1285.15119263    0.        ]","[1540.         1524.6        1509.354      1494.26046    1479.3178554
 1464.52467685 1449.87943008 1435.38063578 1421.02682942 1406.81656112
 1392.74839551 1378.82091156 1365.03270244 1351.38237542 1337.86855166
 1324.48986615    0.            0.            0.            0.        ]","[1540.         1524.6        1509.354      1494.26046    1479.3178554
 1464.52467685 1449.87943008 1435.38063578 1421.02682942 1406.81656112
 1392.74839551 1378.82091156 1365.03270244 1351.38237542 1337.86855166
 1324.48986615    0.            0.            0.            0.        ]","[1540.         1524.6        1509.354      1494.26046    1479.3178554
 1464.52467685 1449.87943008 1435.38063578 1421.02682942 1406.81656112
 1392.74839551 1378.82091156 1365.03270244 1351.38237542 1337.86855166
 1324.48986615 1311.24496749 1298.13251781 1285.15119263 1272.29968071]","[1540.         1524.6        1509.354      1494.26046    1479.3178554
 1464.52467685 1449.87943008 1435.38063578 1421.02682942 1406.81656112
 1392.74839551 1378.82091156 1365.03270244 1351.38237542 1337.86855166
 1324.48986615 1311.24496749 1298.13251781 1285.15119263 1272.29968071]","[1540.         1524.6        1509.354      1494.26046    1479.3178554
 1464.52467685 1449.87943008 1435.38063578 1421.02682942 1406.81656112
 1392.74839551 1378.82091156 1365.03270244 1351.38237542 1337.86855166
 1324.48986615 1311.24496749 1298.13251781 1285.15119263 1272.29968071]","[1540.         1524.6        1509.354      1494.26046    1479.3178554
 1464.52467685 1449.87943008 1435.38063578 1421.02682942 1406.81656112
 1392.74839551 1378.82091156 1365.03270244 1351.38237542 1337.86855166
 1324.48986615 1311.24496749 1298.13251781 1285.15119263    0.        ]","[1540.         1524.6        1509.354      1494.26046    1479.3178554
 1464.52467685 1449.87943008 1435.38063578 1421.02682942 1406.81656112
 1392.74839551 1378.82091156 1365.03270244 1351.38237542 1337.86855166
 1324.48986615 1311.24496749 1298.13251781 1285.15119263    0.        ]","[1540.         1524.6        1509.354      1494.26046    1479.3178554
 1464.52467685 1449.87943008 1435.38063578 1421.02682942 1406.81656112
 1392.74839551 1378.82091156 1365.03270244 1351.38237542 1337.86855166
 1324.48986615 1311.24496749 1298.13251781 1285.15119263 1272.29968071]","[1540.         1524.6        1509.354      1494.26046    1479.3178554
 1464.52467685 1449.87943008 1435.38063578 1421.02682942 1406.81656112
 1392.74839551 1378.82091156 1365.03270244 1351.38237542 1337.86855166
 1324.48986615 1311.24496749 1298.13251781 1285.15119263 1272.29968071]","[1540.         1524.6        1509.354      1494.26046    1479.3178554
 1464.52467685 1449.87943008 1435.38063578 1421.02682942 1406.81656112
 1392.74839551 1378.82091156 1365.03270244 1351.38237542 1337.86855166
 1324.48986615 1311.24496749 1298.13251781 1285.15119263 1272.29968071]","[1540.         1524.6        1509.354      1494.26046    1479.3178554
 1464.52467685 1449.87943008 1435.38063578 1421.02682942 1406.81656112
 1392.74839551 1378.82091156 1365.03270244 1351.38237542 1337.86855166
 1324.48986615 1311.24496749 1298.13251781 1285.15119263 1272.29968071]","[1540.         1524.6        1509.354      1494.26046    1479.3178554
 1464.52467685 1449.87943008 1435.38063578 1421.02682942 1406.81656112
 1392.74839551 1378.82091156 1365.03270244 1351.38237542 1337.86855166
 1324.48986615 1311.24496749 1298.13251781 1285.15119263 1272.29968071]","[1540.         1524.6        1509.354      1494.26046    1479.3178554
 1464.52467685 1449.87943008 1435.38063578 1421.02682942 1406.81656112
 1392.74839551 1378.82091156 1365.03270244 1351.38237542 1337.86855166
 1324.48986615 1311.24496749 1298.13251781 1285.15119263 1272.29968071]","[1540.         1524.6        1509.354      1494.26046    1479.3178554
 1464.52467685 1449.87943008 1435.38063578 1421.02682942 1406.81656112
 1392.74839551 1378.82091156 1365.03270244 1351.38237542 1337.86855166
 1324.48986615 1311.24496749 1298.13251781 1285.15119263 1272.29968071]"
proper,"[2240.         2217.6        2195.424      2173.46976    2151.7350624
 2130.21771178 2108.91553466 2087.82637931 2066.94811552 2046.27863436
 2025.81584802 2005.55768954 1985.50211264 1965.64709152    0.
    0.            0.            0.            0.            0.        ]","[2240.         2217.6        2195.424      2173.46976    2151.7350624
 2130.21771178 2108.91553466 2087.82637931 2066.94811552 2046.27863436
 2025.81584802 2005.55768954    0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2240.         2217.6        2195.424      2173.46976    2151.7350624
 2130.21771178 2108.91553466 2087.82637931 2066.94811552 2046.27863436
 2025.81584802 2005.55768954    0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2240.         2217.6        2195.424      2173.46976    2151.7350624
 2130.21771178 2108.91553466 2087.82637931 2066.94811552 2046.27863436
 2025.81584802 2005.55768954 1985.50211264 1965.64709152    0.
    0.            0.            0.            0.            0.        ]","[2240.         2217.6        2195.424      2173.46976    2151.7350624
 2130.21771178 2108.91553466 2087.82637931 2066.94811552 2046.27863436
 2025.81584802 2005.55768954 1985.50211264 1965.64709152    0.
    0.            0.            0.            0.            0.        ]","[2240.         2217.6        2195.424      2173.46976    2151.7350624
 2130.21771178 2108.91553466 2087.82637931 2066.94811552 2046.27863436
 2025.81584802 2005.55768954 1985.50211264 1965.64709152    0.
    0.            0.            0.            0.            0.        ]","[2240.         2217.6        2195.424      2173.46976    2151.7350624
 2130.21771178 2108.91553466 2087.82637931 2066.94811552 2046.27863436
 2025.81584802 2005.55768954    0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2240.         2217.6        2195.424      2173.46976    2151.7350624
 2130.21771178 2108.91553466 2087.82637931 2066.94811552 2046.27863436
 2025.81584802 2005.55768954    0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2240.         2217.6        2195.424      2173.46976    2151.7350624
 2130.21771178 2108.91553466 2087.82637931 2066.94811552 2046.27863436
 2025.81584802 2005.55768954 1985.50211264    0.            0.
    0.            0.            0.            0.            0.        ]","[2240.         2217.6        2195.424      2173.46976    2151.7350624
 2130.21771178 2108.91553466 2087.82637931 2066.94811552 2046.27863436
 2025.81584802 2005.55768954 1985.50211264 1965.64709152 1945.9906206
    0.            0.            0.            0.            0.        ]","[2240.         2217.6        2195.424      2173.46976    2151.7350624
 2130.21771178 2108.91553466 2087.82637931 2066.94811552 2046.27863436
 2025.81584802 2005.55768954 1985.50211264 1965.64709152 1945.9906206
 1926.5307144  1907.26540725 1888.19275318 1869.31082565 1850.61771739]","[2240.         2217.6        2195.424      2173.46976    2151.7350624
 2130.21771178 2108.91553466 2087.82637931 2066.94811552 2046.27863436
 2025.81584802 2005.55768954 1985.50211264 1965.64709152 1945.9906206
 1926.5307144  1907.26540725 1888.19275318 1869.31082565 1850.61771739]","[2240.         2217.6        2195.424      2173.46976    2151.7350624
 2130.21771178 2108.91553466 2087.82637931 2066.94811552 2046.27863436
 2025.81584802 2005.55768954 1985.50211264 1965.64709152 1945.9906206
 1926.5307144     0.            0.            0.            0.        ]","[2240.         2217.6        2195.424      2173.46976    2151.7350624
 2130.21771178 2108.91553466 2087.82637931 2066.94811552 2046.27863436
 2025.81584802 2005.55768954 1985.50211264 1965.64709152 1945.9906206
 1926.5307144  1907.26540725 1888.19275318 1869.31082565 1850.61771739]","[2240.         2217.6        2195.424      2173.46976    2151.7350624
 2130.21771178 2108.91553466 2087.82637931 2066.94811552 2046.27863436
 2025.81584802 2005.55768954 1985.50211264 1965.64709152 1945.9906206
 1926.5307144  1907.26540725 1888.19275318 1869.31082565 1850.61771739]"
