,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
minimum,"[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754]"
proper,"[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907    0.            0.        ]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907    0.            0.        ]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088    0.        ]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088    0.        ]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647]"
