,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
minimum,"[1365.         1351.35       1337.8365     1324.458135   1311.21355365
 1298.10141811 1285.12040393 1272.26919989 1259.54650789 1246.95104282
 1234.48153239 1222.13671706 1209.91534989 1197.81619639 1185.83803443
 1173.97965409 1162.23985754 1150.61745897 1139.11128438 1127.72017154
 1116.44296982 1105.27854012    0.            0.            0.        ]","[1365.         1351.35       1337.8365     1324.458135   1311.21355365
 1298.10141811 1285.12040393 1272.26919989 1259.54650789 1246.95104282
 1234.48153239 1222.13671706 1209.91534989 1197.81619639 1185.83803443
 1173.97965409 1162.23985754 1150.61745897 1139.11128438    0.
    0.            0.            0.            0.            0.        ]","[1365.         1351.35       1337.8365     1324.458135   1311.21355365
 1298.10141811 1285.12040393 1272.26919989 1259.54650789 1246.95104282
 1234.48153239 1222.13671706 1209.91534989 1197.81619639 1185.83803443
 1173.97965409 1162.23985754 1150.61745897 1139.11128438    0.
    0.            0.            0.            0.            0.        ]","[1365.         1351.35       1337.8365     1324.458135   1311.21355365
 1298.10141811 1285.12040393 1272.26919989 1259.54650789 1246.95104282
 1234.48153239 1222.13671706 1209.91534989 1197.81619639 1185.83803443
 1173.97965409 1162.23985754 1150.61745897 1139.11128438 1127.72017154
 1116.44296982 1105.27854012 1094.22575472 1083.28349717    0.        ]","[1365.         1351.35       1337.8365     1324.458135   1311.21355365
 1298.10141811 1285.12040393 1272.26919989 1259.54650789 1246.95104282
 1234.48153239 1222.13671706 1209.91534989 1197.81619639 1185.83803443
 1173.97965409 1162.23985754 1150.61745897 1139.11128438 1127.72017154
 1116.44296982 1105.27854012 1094.22575472 1083.28349717 1072.4506622 ]","[1365.         1351.35       1337.8365     1324.458135   1311.21355365
 1298.10141811 1285.12040393 1272.26919989 1259.54650789 1246.95104282
 1234.48153239 1222.13671706 1209.91534989 1197.81619639 1185.83803443
 1173.97965409 1162.23985754 1150.61745897 1139.11128438 1127.72017154
 1116.44296982 1105.27854012 1094.22575472 1083.28349717 1072.4506622 ]","[1365.         1351.35       1337.8365     1324.458135   1311.21355365
 1298.10141811 1285.12040393 1272.26919989 1259.54650789 1246.95104282
 1234.48153239 1222.13671706 1209.91534989 1197.81619639 1185.83803443
 1173.97965409 1162.23985754 1150.61745897 1139.11128438 1127.72017154
 1116.44296982 1105.27854012    0.            0.            0.        ]","[1365.         1351.35       1337.8365     1324.458135   1311.21355365
 1298.10141811 1285.12040393 1272.26919989 1259.54650789 1246.95104282
 1234.48153239 1222.13671706 1209.91534989 1197.81619639 1185.83803443
 1173.97965409 1162.23985754 1150.61745897 1139.11128438 1127.72017154
 1116.44296982 1105.27854012    0.            0.            0.        ]","[1365.         1351.35       1337.8365     1324.458135   1311.21355365
 1298.10141811 1285.12040393 1272.26919989 1259.54650789 1246.95104282
 1234.48153239 1222.13671706 1209.91534989 1197.81619639 1185.83803443
 1173.97965409 1162.23985754 1150.61745897 1139.11128438 1127.72017154
 1116.44296982 1105.27854012 1094.22575472    0.            0.        ]","[1365.         1351.35       1337.8365     1324.458135   1311.21355365
 1298.10141811 1285.12040393 1272.26919989 1259.54650789 1246.95104282
 1234.48153239 1222.13671706 1209.91534989 1197.81619639 1185.83803443
 1173.97965409 1162.23985754 1150.61745897 1139.11128438 1127.72017154
 1116.44296982 1105.27854012 1094.22575472 1083.28349717 1072.4506622 ]"
proper,"[2065.         2044.35       2023.9065     2003.667435   1983.63076065
 1963.79445304 1944.15650851 1924.71494343 1905.46779399 1886.41311605
 1867.54898489 1848.87349504 1830.38476009 1812.08091249 1793.96010337
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2065.         2044.35       2023.9065     2003.667435   1983.63076065
 1963.79445304 1944.15650851 1924.71494343 1905.46779399 1886.41311605
 1867.54898489 1848.87349504 1830.38476009    0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2065.         2044.35       2023.9065     2003.667435   1983.63076065
 1963.79445304 1944.15650851 1924.71494343 1905.46779399 1886.41311605
 1867.54898489 1848.87349504 1830.38476009    0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2065.         2044.35       2023.9065     2003.667435   1983.63076065
 1963.79445304 1944.15650851 1924.71494343 1905.46779399 1886.41311605
 1867.54898489 1848.87349504 1830.38476009 1812.08091249 1793.96010337
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2065.         2044.35       2023.9065     2003.667435   1983.63076065
 1963.79445304 1944.15650851 1924.71494343 1905.46779399 1886.41311605
 1867.54898489 1848.87349504 1830.38476009 1812.08091249 1793.96010337
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2065.         2044.35       2023.9065     2003.667435   1983.63076065
 1963.79445304 1944.15650851 1924.71494343 1905.46779399 1886.41311605
 1867.54898489 1848.87349504 1830.38476009 1812.08091249 1793.96010337
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2065.         2044.35       2023.9065     2003.667435   1983.63076065
 1963.79445304 1944.15650851 1924.71494343 1905.46779399 1886.41311605
 1867.54898489 1848.87349504 1830.38476009    0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2065.         2044.35       2023.9065     2003.667435   1983.63076065
 1963.79445304 1944.15650851 1924.71494343 1905.46779399 1886.41311605
 1867.54898489 1848.87349504 1830.38476009 1812.08091249    0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2065.         2044.35       2023.9065     2003.667435   1983.63076065
 1963.79445304 1944.15650851 1924.71494343 1905.46779399 1886.41311605
 1867.54898489 1848.87349504 1830.38476009 1812.08091249    0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2065.         2044.35       2023.9065     2003.667435   1983.63076065
 1963.79445304 1944.15650851 1924.71494343 1905.46779399 1886.41311605
 1867.54898489 1848.87349504 1830.38476009 1812.08091249 1793.96010337
 1776.02050233 1758.26029731    0.            0.            0.
    0.            0.            0.            0.            0.        ]"
