,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
minimum,"[1260.         1247.4        1234.926      1222.57674    1210.3509726
 1198.24746287 1186.26498825 1174.40233836 1162.65831498 1151.03173183
 1139.52141451 1128.12620037 1116.84493836 1105.67648898 1094.61972409
 1083.67352685 1072.83679158 1062.10842366 1051.48733943 1040.97246603]","[1260.         1247.4        1234.926      1222.57674    1210.3509726
 1198.24746287 1186.26498825 1174.40233836 1162.65831498 1151.03173183
 1139.52141451 1128.12620037 1116.84493836 1105.67648898 1094.61972409
 1083.67352685 1072.83679158 1062.10842366 1051.48733943 1040.97246603]","[1260.         1247.4        1234.926      1222.57674    1210.3509726
 1198.24746287 1186.26498825 1174.40233836 1162.65831498 1151.03173183
 1139.52141451 1128.12620037 1116.84493836 1105.67648898 1094.61972409
 1083.67352685 1072.83679158 1062.10842366 1051.48733943 1040.97246603]","[1260.         1247.4        1234.926      1222.57674    1210.3509726
 1198.24746287 1186.26498825 1174.40233836 1162.65831498 1151.03173183
 1139.52141451 1128.12620037 1116.84493836 1105.67648898 1094.61972409
 1083.67352685 1072.83679158 1062.10842366 1051.48733943 1040.97246603]","[1260.         1247.4        1234.926      1222.57674    1210.3509726
 1198.24746287 1186.26498825 1174.40233836 1162.65831498 1151.03173183
 1139.52141451 1128.12620037 1116.84493836 1105.67648898 1094.61972409
 1083.67352685 1072.83679158 1062.10842366 1051.48733943 1040.97246603]","[1260.         1247.4        1234.926      1222.57674    1210.3509726
 1198.24746287 1186.26498825 1174.40233836 1162.65831498 1151.03173183
 1139.52141451 1128.12620037 1116.84493836 1105.67648898 1094.61972409
 1083.67352685 1072.83679158 1062.10842366 1051.48733943 1040.97246603]","[1260.         1247.4        1234.926      1222.57674    1210.3509726
 1198.24746287 1186.26498825 1174.40233836 1162.65831498 1151.03173183
 1139.52141451 1128.12620037 1116.84493836 1105.67648898 1094.61972409
 1083.67352685 1072.83679158 1062.10842366 1051.48733943 1040.97246603]","[1260.         1247.4        1234.926      1222.57674    1210.3509726
 1198.24746287 1186.26498825 1174.40233836 1162.65831498 1151.03173183
 1139.52141451 1128.12620037 1116.84493836 1105.67648898 1094.61972409
 1083.67352685 1072.83679158 1062.10842366 1051.48733943 1040.97246603]","[1260.         1247.4        1234.926      1222.57674    1210.3509726
 1198.24746287 1186.26498825 1174.40233836 1162.65831498 1151.03173183
 1139.52141451 1128.12620037 1116.84493836 1105.67648898 1094.61972409
 1083.67352685 1072.83679158 1062.10842366 1051.48733943 1040.97246603]","[1260.         1247.4        1234.926      1222.57674    1210.3509726
 1198.24746287 1186.26498825 1174.40233836 1162.65831498 1151.03173183
 1139.52141451 1128.12620037 1116.84493836 1105.67648898 1094.61972409
 1083.67352685 1072.83679158 1062.10842366 1051.48733943 1040.97246603]","[1260.         1247.4        1234.926      1222.57674    1210.3509726
 1198.24746287 1186.26498825 1174.40233836 1162.65831498 1151.03173183
 1139.52141451 1128.12620037 1116.84493836 1105.67648898 1094.61972409
 1083.67352685 1072.83679158 1062.10842366 1051.48733943 1040.97246603]","[1260.         1247.4        1234.926      1222.57674    1210.3509726
 1198.24746287 1186.26498825 1174.40233836 1162.65831498 1151.03173183
 1139.52141451 1128.12620037 1116.84493836 1105.67648898 1094.61972409
 1083.67352685 1072.83679158 1062.10842366 1051.48733943 1040.97246603]","[1260.         1247.4        1234.926      1222.57674    1210.3509726
 1198.24746287 1186.26498825 1174.40233836 1162.65831498 1151.03173183
 1139.52141451 1128.12620037 1116.84493836 1105.67648898 1094.61972409
 1083.67352685 1072.83679158 1062.10842366 1051.48733943 1040.97246603]","[1260.         1247.4        1234.926      1222.57674    1210.3509726
 1198.24746287 1186.26498825 1174.40233836 1162.65831498 1151.03173183
 1139.52141451 1128.12620037 1116.84493836 1105.67648898 1094.61972409
 1083.67352685 1072.83679158 1062.10842366 1051.48733943 1040.97246603]","[1260.         1247.4        1234.926      1222.57674    1210.3509726
 1198.24746287 1186.26498825 1174.40233836 1162.65831498 1151.03173183
 1139.52141451 1128.12620037 1116.84493836 1105.67648898 1094.61972409
 1083.67352685 1072.83679158 1062.10842366 1051.48733943 1040.97246603]"
proper,"[1960.         1940.4        1920.996      1901.78604    1882.7681796
 1863.9404978  1845.30109283 1826.8480819  1808.57960108 1790.49380507
 1772.58886702 1754.86297835 1737.31434856 1719.94120508 1702.74179303
    0.            0.            0.            0.            0.        ]","[1960.         1940.4        1920.996      1901.78604    1882.7681796
 1863.9404978  1845.30109283 1826.8480819  1808.57960108 1790.49380507
 1772.58886702 1754.86297835 1737.31434856 1719.94120508    0.
    0.            0.            0.            0.            0.        ]","[1960.         1940.4        1920.996      1901.78604    1882.7681796
 1863.9404978  1845.30109283 1826.8480819  1808.57960108 1790.49380507
 1772.58886702 1754.86297835 1737.31434856    0.            0.
    0.            0.            0.            0.            0.        ]","[1960.         1940.4        1920.996      1901.78604    1882.7681796
 1863.9404978  1845.30109283 1826.8480819  1808.57960108 1790.49380507
 1772.58886702 1754.86297835 1737.31434856 1719.94120508 1702.74179303
 1685.7143751     0.            0.            0.            0.        ]","[1960.         1940.4        1920.996      1901.78604    1882.7681796
 1863.9404978  1845.30109283 1826.8480819  1808.57960108 1790.49380507
 1772.58886702 1754.86297835 1737.31434856 1719.94120508 1702.74179303
 1685.7143751     0.            0.            0.            0.        ]","[1960.         1940.4        1920.996      1901.78604    1882.7681796
 1863.9404978  1845.30109283 1826.8480819  1808.57960108 1790.49380507
 1772.58886702 1754.86297835 1737.31434856 1719.94120508 1702.74179303
 1685.7143751     0.            0.            0.            0.        ]","[1960.         1940.4        1920.996      1901.78604    1882.7681796
 1863.9404978  1845.30109283 1826.8480819  1808.57960108 1790.49380507
 1772.58886702 1754.86297835 1737.31434856 1719.94120508    0.
    0.            0.            0.            0.            0.        ]","[1960.         1940.4        1920.996      1901.78604    1882.7681796
 1863.9404978  1845.30109283 1826.8480819  1808.57960108 1790.49380507
 1772.58886702 1754.86297835 1737.31434856 1719.94120508 1702.74179303
    0.            0.            0.            0.            0.        ]","[1960.         1940.4        1920.996      1901.78604    1882.7681796
 1863.9404978  1845.30109283 1826.8480819  1808.57960108 1790.49380507
 1772.58886702 1754.86297835 1737.31434856 1719.94120508 1702.74179303
    0.            0.            0.            0.            0.        ]","[1960.         1940.4        1920.996      1901.78604    1882.7681796
 1863.9404978  1845.30109283 1826.8480819  1808.57960108 1790.49380507
 1772.58886702 1754.86297835 1737.31434856 1719.94120508 1702.74179303
 1685.7143751  1668.85723135 1652.16865903    0.            0.        ]","[1960.         1940.4        1920.996      1901.78604    1882.7681796
 1863.9404978  1845.30109283 1826.8480819  1808.57960108 1790.49380507
 1772.58886702 1754.86297835 1737.31434856 1719.94120508 1702.74179303
 1685.7143751  1668.85723135 1652.16865903 1635.64697244 1619.29050272]","[1960.         1940.4        1920.996      1901.78604    1882.7681796
 1863.9404978  1845.30109283 1826.8480819  1808.57960108 1790.49380507
 1772.58886702 1754.86297835 1737.31434856 1719.94120508 1702.74179303
 1685.7143751  1668.85723135 1652.16865903 1635.64697244 1619.29050272]","[1960.         1940.4        1920.996      1901.78604    1882.7681796
 1863.9404978  1845.30109283 1826.8480819  1808.57960108 1790.49380507
 1772.58886702 1754.86297835 1737.31434856 1719.94120508 1702.74179303
 1685.7143751  1668.85723135 1652.16865903    0.            0.        ]","[1960.         1940.4        1920.996      1901.78604    1882.7681796
 1863.9404978  1845.30109283 1826.8480819  1808.57960108 1790.49380507
 1772.58886702 1754.86297835 1737.31434856 1719.94120508 1702.74179303
 1685.7143751  1668.85723135 1652.16865903 1635.64697244 1619.29050272]","[1960.         1940.4        1920.996      1901.78604    1882.7681796
 1863.9404978  1845.30109283 1826.8480819  1808.57960108 1790.49380507
 1772.58886702 1754.86297835 1737.31434856 1719.94120508 1702.74179303
 1685.7143751  1668.85723135 1652.16865903 1635.64697244 1619.29050272]"
