,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
minimum,"[1400.         1386.         1372.14       1358.4186     1344.834414
 1331.38606986 1318.07220916 1304.89148707 1291.8425722  1278.92414648
 1266.13490501 1253.47355596 1240.9388204  1228.5294322  1216.24413788
 1204.0816965  1192.04087953 1180.12047074 1168.31926603 1156.63607337
 1145.06971264    0.            0.            0.            0.        ]","[1400.         1386.         1372.14       1358.4186     1344.834414
 1331.38606986 1318.07220916 1304.89148707 1291.8425722  1278.92414648
 1266.13490501 1253.47355596 1240.9388204  1228.5294322  1216.24413788
 1204.0816965  1192.04087953 1180.12047074    0.            0.
    0.            0.            0.            0.            0.        ]","[1400.         1386.         1372.14       1358.4186     1344.834414
 1331.38606986 1318.07220916 1304.89148707 1291.8425722  1278.92414648
 1266.13490501 1253.47355596 1240.9388204  1228.5294322  1216.24413788
 1204.0816965  1192.04087953 1180.12047074    0.            0.
    0.            0.            0.            0.            0.        ]","[1400.         1386.         1372.14       1358.4186     1344.834414
 1331.38606986 1318.07220916 1304.89148707 1291.8425722  1278.92414648
 1266.13490501 1253.47355596 1240.9388204  1228.5294322  1216.24413788
 1204.0816965  1192.04087953 1180.12047074 1168.31926603 1156.63607337
 1145.06971264 1133.61901551 1122.28282535 1111.0599971     0.        ]","[1400.         1386.         1372.14       1358.4186     1344.834414
 1331.38606986 1318.07220916 1304.89148707 1291.8425722  1278.92414648
 1266.13490501 1253.47355596 1240.9388204  1228.5294322  1216.24413788
 1204.0816965  1192.04087953 1180.12047074 1168.31926603 1156.63607337
 1145.06971264 1133.61901551 1122.28282535 1111.0599971     0.        ]","[1400.         1386.         1372.14       1358.4186     1344.834414
 1331.38606986 1318.07220916 1304.89148707 1291.8425722  1278.92414648
 1266.13490501 1253.47355596 1240.9388204  1228.5294322  1216.24413788
 1204.0816965  1192.04087953 1180.12047074 1168.31926603 1156.63607337
 1145.06971264 1133.61901551 1122.28282535 1111.0599971     0.        ]","[1400.         1386.         1372.14       1358.4186     1344.834414
 1331.38606986 1318.07220916 1304.89148707 1291.8425722  1278.92414648
 1266.13490501 1253.47355596 1240.9388204  1228.5294322  1216.24413788
 1204.0816965  1192.04087953 1180.12047074 1168.31926603 1156.63607337
 1145.06971264    0.            0.            0.            0.        ]","[1400.         1386.         1372.14       1358.4186     1344.834414
 1331.38606986 1318.07220916 1304.89148707 1291.8425722  1278.92414648
 1266.13490501 1253.47355596 1240.9388204  1228.5294322  1216.24413788
 1204.0816965  1192.04087953 1180.12047074 1168.31926603 1156.63607337
 1145.06971264 1133.61901551    0.            0.            0.        ]","[1400.         1386.         1372.14       1358.4186     1344.834414
 1331.38606986 1318.07220916 1304.89148707 1291.8425722  1278.92414648
 1266.13490501 1253.47355596 1240.9388204  1228.5294322  1216.24413788
 1204.0816965  1192.04087953 1180.12047074 1168.31926603 1156.63607337
 1145.06971264 1133.61901551 1122.28282535    0.            0.        ]","[1400.         1386.         1372.14       1358.4186     1344.834414
 1331.38606986 1318.07220916 1304.89148707 1291.8425722  1278.92414648
 1266.13490501 1253.47355596 1240.9388204  1228.5294322  1216.24413788
 1204.0816965  1192.04087953 1180.12047074 1168.31926603 1156.63607337
 1145.06971264 1133.61901551 1122.28282535 1111.0599971  1099.94939713]"
proper,"[2100.         2079.         2058.21       2037.6279     2017.251621
 1997.07910479 1977.10831374 1957.3372306  1937.7638583  1918.38621972
 1899.20235752 1880.21033394 1861.4082306  1842.7941483  1824.36620681
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2100.         2079.         2058.21       2037.6279     2017.251621
 1997.07910479 1977.10831374 1957.3372306  1937.7638583  1918.38621972
 1899.20235752 1880.21033394 1861.4082306     0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2100.         2079.         2058.21       2037.6279     2017.251621
 1997.07910479 1977.10831374 1957.3372306  1937.7638583  1918.38621972
 1899.20235752 1880.21033394 1861.4082306     0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2100.         2079.         2058.21       2037.6279     2017.251621
 1997.07910479 1977.10831374 1957.3372306  1937.7638583  1918.38621972
 1899.20235752 1880.21033394 1861.4082306  1842.7941483  1824.36620681
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2100.         2079.         2058.21       2037.6279     2017.251621
 1997.07910479 1977.10831374 1957.3372306  1937.7638583  1918.38621972
 1899.20235752 1880.21033394 1861.4082306  1842.7941483  1824.36620681
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2100.         2079.         2058.21       2037.6279     2017.251621
 1997.07910479 1977.10831374 1957.3372306  1937.7638583  1918.38621972
 1899.20235752 1880.21033394 1861.4082306  1842.7941483  1824.36620681
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2100.         2079.         2058.21       2037.6279     2017.251621
 1997.07910479 1977.10831374 1957.3372306  1937.7638583  1918.38621972
 1899.20235752 1880.21033394 1861.4082306     0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2100.         2079.         2058.21       2037.6279     2017.251621
 1997.07910479 1977.10831374 1957.3372306  1937.7638583  1918.38621972
 1899.20235752 1880.21033394 1861.4082306     0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2100.         2079.         2058.21       2037.6279     2017.251621
 1997.07910479 1977.10831374 1957.3372306  1937.7638583  1918.38621972
 1899.20235752 1880.21033394 1861.4082306  1842.7941483     0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2100.         2079.         2058.21       2037.6279     2017.251621
 1997.07910479 1977.10831374 1957.3372306  1937.7638583  1918.38621972
 1899.20235752 1880.21033394 1861.4082306  1842.7941483  1824.36620681
 1806.12254475 1788.0613193     0.            0.            0.
    0.            0.            0.            0.            0.        ]"
