,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
minimum,"[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477
 1264.28578132 1251.64292351 1239.12649427 1226.73522933 1214.46787704]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477
 1264.28578132 1251.64292351    0.            0.            0.        ]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477
 1264.28578132 1251.64292351    0.            0.            0.        ]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477
 1264.28578132 1251.64292351 1239.12649427 1226.73522933 1214.46787704]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477
 1264.28578132 1251.64292351 1239.12649427 1226.73522933 1214.46787704]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477
 1264.28578132 1251.64292351 1239.12649427 1226.73522933 1214.46787704]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477
 1264.28578132 1251.64292351 1239.12649427 1226.73522933 1214.46787704]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477
 1264.28578132 1251.64292351 1239.12649427 1226.73522933 1214.46787704]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477
 1264.28578132 1251.64292351 1239.12649427 1226.73522933 1214.46787704]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477
 1264.28578132 1251.64292351 1239.12649427 1226.73522933 1214.46787704]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477
 1264.28578132 1251.64292351 1239.12649427 1226.73522933 1214.46787704]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477
 1264.28578132 1251.64292351 1239.12649427 1226.73522933 1214.46787704]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477
 1264.28578132 1251.64292351 1239.12649427 1226.73522933 1214.46787704]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477
 1264.28578132 1251.64292351 1239.12649427 1226.73522933 1214.46787704]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477
 1264.28578132 1251.64292351 1239.12649427 1226.73522933 1214.46787704]"
proper,"[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991    0.
    0.            0.            0.            0.            0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162    0.            0.
    0.            0.            0.            0.            0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174    0.            0.            0.
    0.            0.            0.            0.            0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991    0.
    0.            0.            0.            0.            0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991    0.
    0.            0.            0.            0.            0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371
    0.            0.            0.            0.            0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162    0.            0.
    0.            0.            0.            0.            0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162    0.            0.
    0.            0.            0.            0.            0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991    0.
    0.            0.            0.            0.            0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371
 1866.32662957    0.            0.            0.            0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371
 1866.32662957 1847.66336328 1829.18672964 1810.89486235 1792.78591372]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371
 1866.32662957 1847.66336328 1829.18672964 1810.89486235 1792.78591372]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371
 1866.32662957    0.            0.            0.            0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371
 1866.32662957 1847.66336328 1829.18672964 1810.89486235 1792.78591372]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371
 1866.32662957 1847.66336328 1829.18672964 1810.89486235 1792.78591372]"
