,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
minimum,"[910.         900.9        891.891      882.97209    874.1423691
 865.40094541 856.74693595 848.1794666  839.69767193 831.30069521
 822.98768826 814.75781138 806.61023326 798.54413093 790.55868962
 782.65310272 774.8265717  767.07830598 759.40752292 751.81344769
 744.29531321 736.85236008 729.48383648 722.18899812 714.96710813]","[910.         900.9        891.891      882.97209    874.1423691
 865.40094541 856.74693595 848.1794666  839.69767193 831.30069521
 822.98768826 814.75781138 806.61023326 798.54413093 790.55868962
 782.65310272 774.8265717  767.07830598 759.40752292 751.81344769
 744.29531321 736.85236008 729.48383648 722.18899812 714.96710813]","[910.         900.9        891.891      882.97209    874.1423691
 865.40094541 856.74693595 848.1794666  839.69767193 831.30069521
 822.98768826 814.75781138 806.61023326 798.54413093 790.55868962
 782.65310272 774.8265717  767.07830598 759.40752292 751.81344769
 744.29531321 736.85236008 729.48383648 722.18899812 714.96710813]","[910.         900.9        891.891      882.97209    874.1423691
 865.40094541 856.74693595 848.1794666  839.69767193 831.30069521
 822.98768826 814.75781138 806.61023326 798.54413093 790.55868962
 782.65310272 774.8265717  767.07830598 759.40752292 751.81344769
 744.29531321 736.85236008 729.48383648 722.18899812 714.96710813]","[910.         900.9        891.891      882.97209    874.1423691
 865.40094541 856.74693595 848.1794666  839.69767193 831.30069521
 822.98768826 814.75781138 806.61023326 798.54413093 790.55868962
 782.65310272 774.8265717  767.07830598 759.40752292 751.81344769
 744.29531321 736.85236008 729.48383648 722.18899812 714.96710813]","[910.         900.9        891.891      882.97209    874.1423691
 865.40094541 856.74693595 848.1794666  839.69767193 831.30069521
 822.98768826 814.75781138 806.61023326 798.54413093 790.55868962
 782.65310272 774.8265717  767.07830598 759.40752292 751.81344769
 744.29531321 736.85236008 729.48383648 722.18899812 714.96710813]","[910.         900.9        891.891      882.97209    874.1423691
 865.40094541 856.74693595 848.1794666  839.69767193 831.30069521
 822.98768826 814.75781138 806.61023326 798.54413093 790.55868962
 782.65310272 774.8265717  767.07830598 759.40752292 751.81344769
 744.29531321 736.85236008 729.48383648 722.18899812 714.96710813]","[910.         900.9        891.891      882.97209    874.1423691
 865.40094541 856.74693595 848.1794666  839.69767193 831.30069521
 822.98768826 814.75781138 806.61023326 798.54413093 790.55868962
 782.65310272 774.8265717  767.07830598 759.40752292 751.81344769
 744.29531321 736.85236008 729.48383648 722.18899812 714.96710813]","[910.         900.9        891.891      882.97209    874.1423691
 865.40094541 856.74693595 848.1794666  839.69767193 831.30069521
 822.98768826 814.75781138 806.61023326 798.54413093 790.55868962
 782.65310272 774.8265717  767.07830598 759.40752292 751.81344769
 744.29531321 736.85236008 729.48383648 722.18899812 714.96710813]","[910.         900.9        891.891      882.97209    874.1423691
 865.40094541 856.74693595 848.1794666  839.69767193 831.30069521
 822.98768826 814.75781138 806.61023326 798.54413093 790.55868962
 782.65310272 774.8265717  767.07830598 759.40752292 751.81344769
 744.29531321 736.85236008 729.48383648 722.18899812 714.96710813]"
proper,"[1610.         1593.9        1577.961      1562.18139    1546.5595761
 1531.09398034 1515.78304054 1500.62521013 1485.61895803 1470.76276845
 1456.05514076 1441.49458936 1427.07964346 1412.80884703 1398.68075856
 1384.69395097 1370.84701146 1357.13854135    0.            0.
    0.            0.            0.            0.            0.        ]","[1610.         1593.9        1577.961      1562.18139    1546.5595761
 1531.09398034 1515.78304054 1500.62521013 1485.61895803 1470.76276845
 1456.05514076 1441.49458936 1427.07964346 1412.80884703 1398.68075856
 1384.69395097    0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1610.         1593.9        1577.961      1562.18139    1546.5595761
 1531.09398034 1515.78304054 1500.62521013 1485.61895803 1470.76276845
 1456.05514076 1441.49458936 1427.07964346 1412.80884703 1398.68075856
 1384.69395097    0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1610.         1593.9        1577.961      1562.18139    1546.5595761
 1531.09398034 1515.78304054 1500.62521013 1485.61895803 1470.76276845
 1456.05514076 1441.49458936 1427.07964346 1412.80884703 1398.68075856
 1384.69395097 1370.84701146 1357.13854135 1343.56715593 1330.13148438
    0.            0.            0.            0.            0.        ]","[1610.         1593.9        1577.961      1562.18139    1546.5595761
 1531.09398034 1515.78304054 1500.62521013 1485.61895803 1470.76276845
 1456.05514076 1441.49458936 1427.07964346 1412.80884703 1398.68075856
 1384.69395097 1370.84701146 1357.13854135 1343.56715593 1330.13148438
    0.            0.            0.            0.            0.        ]","[1610.         1593.9        1577.961      1562.18139    1546.5595761
 1531.09398034 1515.78304054 1500.62521013 1485.61895803 1470.76276845
 1456.05514076 1441.49458936 1427.07964346 1412.80884703 1398.68075856
 1384.69395097 1370.84701146 1357.13854135 1343.56715593 1330.13148438
 1316.83016953    0.            0.            0.            0.        ]","[1610.         1593.9        1577.961      1562.18139    1546.5595761
 1531.09398034 1515.78304054 1500.62521013 1485.61895803 1470.76276845
 1456.05514076 1441.49458936 1427.07964346 1412.80884703 1398.68075856
 1384.69395097 1370.84701146 1357.13854135    0.            0.
    0.            0.            0.            0.            0.        ]","[1610.         1593.9        1577.961      1562.18139    1546.5595761
 1531.09398034 1515.78304054 1500.62521013 1485.61895803 1470.76276845
 1456.05514076 1441.49458936 1427.07964346 1412.80884703 1398.68075856
 1384.69395097 1370.84701146 1357.13854135    0.            0.
    0.            0.            0.            0.            0.        ]","[1610.         1593.9        1577.961      1562.18139    1546.5595761
 1531.09398034 1515.78304054 1500.62521013 1485.61895803 1470.76276845
 1456.05514076 1441.49458936 1427.07964346 1412.80884703 1398.68075856
 1384.69395097 1370.84701146 1357.13854135 1343.56715593    0.
    0.            0.            0.            0.            0.        ]","[1610.         1593.9        1577.961      1562.18139    1546.5595761
 1531.09398034 1515.78304054 1500.62521013 1485.61895803 1470.76276845
 1456.05514076 1441.49458936 1427.07964346 1412.80884703 1398.68075856
 1384.69395097 1370.84701146 1357.13854135 1343.56715593 1330.13148438
 1316.83016953 1303.66186784 1290.62524916    0.            0.        ]"
