,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
minimum,"[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]","[1470.         1455.3        1440.747      1426.33953    1412.0761347
 1397.95537335 1383.97581962 1370.13606142 1356.43470081 1342.8703538
 1329.44165026 1316.14723376 1302.98576142 1289.95590381 1277.05634477]"
proper,"[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991    0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162    0.            0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174    0.            0.            0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991    0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991    0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162    0.            0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162    0.            0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991    0.        ]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371]","[2170.         2148.3        2126.817      2105.54883    2084.4933417
 2063.64840828 2043.0119242  2022.58180496 2002.35598691 1982.33242704
 1962.50910277 1942.88401174 1923.45517162 1904.22061991 1885.17841371]"
