,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
minimum,"[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754
 1113.77556926 1102.63781357 1091.61143543 1080.69532108 1069.88836787
 1059.18948419 1048.59758935 1038.11161345    0.            0.        ]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754
 1113.77556926 1102.63781357 1091.61143543 1080.69532108 1069.88836787
    0.            0.            0.            0.            0.        ]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754
 1113.77556926 1102.63781357 1091.61143543 1080.69532108 1069.88836787
    0.            0.            0.            0.            0.        ]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754
 1113.77556926 1102.63781357 1091.61143543 1080.69532108 1069.88836787
 1059.18948419 1048.59758935 1038.11161345 1027.73049732 1017.45319235]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754
 1113.77556926 1102.63781357 1091.61143543 1080.69532108 1069.88836787
 1059.18948419 1048.59758935 1038.11161345 1027.73049732 1017.45319235]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754
 1113.77556926 1102.63781357 1091.61143543 1080.69532108 1069.88836787
 1059.18948419 1048.59758935 1038.11161345 1027.73049732 1017.45319235]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754
 1113.77556926 1102.63781357 1091.61143543 1080.69532108 1069.88836787
 1059.18948419 1048.59758935 1038.11161345    0.            0.        ]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754
 1113.77556926 1102.63781357 1091.61143543 1080.69532108 1069.88836787
 1059.18948419 1048.59758935 1038.11161345 1027.73049732    0.        ]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754
 1113.77556926 1102.63781357 1091.61143543 1080.69532108 1069.88836787
 1059.18948419 1048.59758935 1038.11161345 1027.73049732 1017.45319235]","[1295.         1282.05       1269.2295     1256.537205   1243.97183295
 1231.53211462 1219.21679347 1207.02462554 1194.95437928 1183.00483549
 1171.17478714 1159.46303927 1147.86840887 1136.38972478 1125.02582754
 1113.77556926 1102.63781357 1091.61143543 1080.69532108 1069.88836787
 1059.18948419 1048.59758935 1038.11161345 1027.73049732 1017.45319235]"
proper,"[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907    0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907    0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647
 1715.81641751    0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647
 1715.81641751    0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647
 1715.81641751    0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088    0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088    0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1995.         1975.05       1955.2995     1935.746505   1916.38903995
 1897.22514955 1878.25289805 1859.47036907 1840.87566538 1822.46690873
 1804.24223964 1786.19981725 1768.33781907 1750.65444088 1733.14789647
 1715.81641751 1698.65825333 1681.6716708     0.            0.
    0.            0.            0.            0.            0.        ]"
