,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
minimum,"[1190.         1178.1        1166.319      1154.65581    1143.1092519
 1131.67815938 1120.36137779 1109.15776401 1098.06618637 1087.08552451
 1076.21466926 1065.45252257 1054.79799734 1044.25001737 1033.8075172
 1023.46944202 1013.2347476  1003.10240013  993.07137613  983.14066236
  973.30925574  963.57616318  953.94040155  944.40099754  934.95698756]","[1190.         1178.1        1166.319      1154.65581    1143.1092519
 1131.67815938 1120.36137779 1109.15776401 1098.06618637 1087.08552451
 1076.21466926 1065.45252257 1054.79799734 1044.25001737 1033.8075172
 1023.46944202 1013.2347476  1003.10240013  993.07137613  983.14066236
  973.30925574  963.57616318    0.            0.            0.        ]","[1190.         1178.1        1166.319      1154.65581    1143.1092519
 1131.67815938 1120.36137779 1109.15776401 1098.06618637 1087.08552451
 1076.21466926 1065.45252257 1054.79799734 1044.25001737 1033.8075172
 1023.46944202 1013.2347476  1003.10240013  993.07137613  983.14066236
  973.30925574  963.57616318    0.            0.            0.        ]","[1190.         1178.1        1166.319      1154.65581    1143.1092519
 1131.67815938 1120.36137779 1109.15776401 1098.06618637 1087.08552451
 1076.21466926 1065.45252257 1054.79799734 1044.25001737 1033.8075172
 1023.46944202 1013.2347476  1003.10240013  993.07137613  983.14066236
  973.30925574  963.57616318  953.94040155  944.40099754  934.95698756]","[1190.         1178.1        1166.319      1154.65581    1143.1092519
 1131.67815938 1120.36137779 1109.15776401 1098.06618637 1087.08552451
 1076.21466926 1065.45252257 1054.79799734 1044.25001737 1033.8075172
 1023.46944202 1013.2347476  1003.10240013  993.07137613  983.14066236
  973.30925574  963.57616318  953.94040155  944.40099754  934.95698756]","[1190.         1178.1        1166.319      1154.65581    1143.1092519
 1131.67815938 1120.36137779 1109.15776401 1098.06618637 1087.08552451
 1076.21466926 1065.45252257 1054.79799734 1044.25001737 1033.8075172
 1023.46944202 1013.2347476  1003.10240013  993.07137613  983.14066236
  973.30925574  963.57616318  953.94040155  944.40099754  934.95698756]","[1190.         1178.1        1166.319      1154.65581    1143.1092519
 1131.67815938 1120.36137779 1109.15776401 1098.06618637 1087.08552451
 1076.21466926 1065.45252257 1054.79799734 1044.25001737 1033.8075172
 1023.46944202 1013.2347476  1003.10240013  993.07137613  983.14066236
  973.30925574  963.57616318  953.94040155  944.40099754  934.95698756]","[1190.         1178.1        1166.319      1154.65581    1143.1092519
 1131.67815938 1120.36137779 1109.15776401 1098.06618637 1087.08552451
 1076.21466926 1065.45252257 1054.79799734 1044.25001737 1033.8075172
 1023.46944202 1013.2347476  1003.10240013  993.07137613  983.14066236
  973.30925574  963.57616318  953.94040155  944.40099754  934.95698756]","[1190.         1178.1        1166.319      1154.65581    1143.1092519
 1131.67815938 1120.36137779 1109.15776401 1098.06618637 1087.08552451
 1076.21466926 1065.45252257 1054.79799734 1044.25001737 1033.8075172
 1023.46944202 1013.2347476  1003.10240013  993.07137613  983.14066236
  973.30925574  963.57616318  953.94040155  944.40099754  934.95698756]","[1190.         1178.1        1166.319      1154.65581    1143.1092519
 1131.67815938 1120.36137779 1109.15776401 1098.06618637 1087.08552451
 1076.21466926 1065.45252257 1054.79799734 1044.25001737 1033.8075172
 1023.46944202 1013.2347476  1003.10240013  993.07137613  983.14066236
  973.30925574  963.57616318  953.94040155  944.40099754  934.95698756]"
proper,"[1890.         1871.1        1852.389      1833.86511    1815.5264589
 1797.37119431 1779.39748237 1761.60350754 1743.98747247 1726.54759774
 1709.28212177 1692.18930055 1675.26740754 1658.51473347 1641.92958613
 1625.51029027    0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1890.         1871.1        1852.389      1833.86511    1815.5264589
 1797.37119431 1779.39748237 1761.60350754 1743.98747247 1726.54759774
 1709.28212177 1692.18930055 1675.26740754 1658.51473347    0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1890.         1871.1        1852.389      1833.86511    1815.5264589
 1797.37119431 1779.39748237 1761.60350754 1743.98747247 1726.54759774
 1709.28212177 1692.18930055 1675.26740754 1658.51473347    0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1890.         1871.1        1852.389      1833.86511    1815.5264589
 1797.37119431 1779.39748237 1761.60350754 1743.98747247 1726.54759774
 1709.28212177 1692.18930055 1675.26740754 1658.51473347 1641.92958613
 1625.51029027 1609.25518737    0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1890.         1871.1        1852.389      1833.86511    1815.5264589
 1797.37119431 1779.39748237 1761.60350754 1743.98747247 1726.54759774
 1709.28212177 1692.18930055 1675.26740754 1658.51473347 1641.92958613
 1625.51029027 1609.25518737    0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1890.         1871.1        1852.389      1833.86511    1815.5264589
 1797.37119431 1779.39748237 1761.60350754 1743.98747247 1726.54759774
 1709.28212177 1692.18930055 1675.26740754 1658.51473347 1641.92958613
 1625.51029027 1609.25518737    0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1890.         1871.1        1852.389      1833.86511    1815.5264589
 1797.37119431 1779.39748237 1761.60350754 1743.98747247 1726.54759774
 1709.28212177 1692.18930055 1675.26740754 1658.51473347 1641.92958613
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1890.         1871.1        1852.389      1833.86511    1815.5264589
 1797.37119431 1779.39748237 1761.60350754 1743.98747247 1726.54759774
 1709.28212177 1692.18930055 1675.26740754 1658.51473347 1641.92958613
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1890.         1871.1        1852.389      1833.86511    1815.5264589
 1797.37119431 1779.39748237 1761.60350754 1743.98747247 1726.54759774
 1709.28212177 1692.18930055 1675.26740754 1658.51473347 1641.92958613
 1625.51029027    0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]","[1890.         1871.1        1852.389      1833.86511    1815.5264589
 1797.37119431 1779.39748237 1761.60350754 1743.98747247 1726.54759774
 1709.28212177 1692.18930055 1675.26740754 1658.51473347 1641.92958613
 1625.51029027 1609.25518737 1593.1626355  1577.23100914    0.
    0.            0.            0.            0.            0.        ]"
