,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0
1,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0
2,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19
3,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581
4,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519
5,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381
6,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719
7,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318
8,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249
9,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325
10,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772,10762.146692604772
11,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724,10654.525225678724
12,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938,10547.979973421938
13,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717,10442.500173687717
14,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084,10338.07517195084
15,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332,10234.694420231332
16,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902,10132.34747602902
17,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728,10031.024001268728
18,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042,9930.713761256042
19,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481,9831.406623643481
20,9733.092557407046,9733.092557407046,9733.092557407046,9733.092557407046,9733.092557407046,9733.092557407046,9733.092557407046,9733.092557407046,9733.092557407046,9733.092557407046,9733.092557407046,9733.092557407046,9733.092557407046,9733.092557407046,9733.092557407046,9733.092557407046,9733.092557407046,9733.092557407046
21,9635.761631832975,9635.761631832975,9635.761631832975,9635.761631832975,9635.761631832975,9635.761631832975,9635.761631832975,9635.761631832975,9635.761631832975,9635.761631832975,9635.761631832975,9635.761631832975,9635.761631832975,9635.761631832975,9635.761631832975,9635.761631832975,9635.761631832975,9635.761631832975
22,9539.404015514645,9539.404015514645,9539.404015514645,9539.404015514645,9539.404015514645,9539.404015514645,9539.404015514645,9539.404015514645,9539.404015514645,0.0,0.0,9539.404015514645,9539.404015514645,9539.404015514645,9539.404015514645,9539.404015514645,9539.404015514645,9539.404015514645
23,9444.009975359499,9444.009975359499,9444.009975359499,9444.009975359499,9444.009975359499,9444.009975359499,9444.009975359499,9444.009975359499,9444.009975359499,0.0,0.0,9444.009975359499,9444.009975359499,9444.009975359499,9444.009975359499,9444.009975359499,9444.009975359499,9444.009975359499
24,9349.569875605903,9349.569875605903,9349.569875605903,9349.569875605903,9349.569875605903,9349.569875605903,9349.569875605903,9349.569875605903,9349.569875605903,0.0,0.0,9349.569875605903,9349.569875605903,9349.569875605903,9349.569875605903,9349.569875605903,9349.569875605903,9349.569875605903
