,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0
1,12820.5,12820.5,12820.5,12820.5,12820.5,12820.5,12820.5,12820.5,12820.5,12820.5,12820.5,12820.5,12820.5,12820.5,12820.5,12820.5,12820.5,12820.5
2,12692.295,12692.295,12692.295,12692.295,12692.295,12692.295,12692.295,12692.295,12692.295,12692.295,12692.295,12692.295,12692.295,12692.295,12692.295,12692.295,12692.295,12692.295
3,12565.37205,12565.37205,12565.37205,12565.37205,12565.37205,12565.37205,12565.37205,12565.37205,12565.37205,12565.37205,12565.37205,12565.37205,12565.37205,12565.37205,12565.37205,12565.37205,12565.37205,12565.37205
4,12439.7183295,12439.7183295,12439.7183295,12439.7183295,12439.7183295,12439.7183295,12439.7183295,12439.7183295,12439.7183295,12439.7183295,12439.7183295,12439.7183295,12439.7183295,12439.7183295,12439.7183295,12439.7183295,12439.7183295,12439.7183295
5,12315.321146204999,12315.321146204999,12315.321146204999,12315.321146204999,12315.321146204999,12315.321146204999,12315.321146204999,12315.321146204999,12315.321146204999,12315.321146204999,12315.321146204999,12315.321146204999,12315.321146204999,12315.321146204999,12315.321146204999,12315.321146204999,12315.321146204999,12315.321146204999
6,12192.16793474295,12192.16793474295,12192.16793474295,12192.16793474295,12192.16793474295,12192.16793474295,12192.16793474295,12192.16793474295,12192.16793474295,12192.16793474295,12192.16793474295,12192.16793474295,12192.16793474295,12192.16793474295,12192.16793474295,12192.16793474295,12192.16793474295,12192.16793474295
7,12070.24625539552,12070.24625539552,12070.24625539552,12070.24625539552,12070.24625539552,12070.24625539552,12070.24625539552,12070.24625539552,12070.24625539552,12070.24625539552,12070.24625539552,12070.24625539552,12070.24625539552,12070.24625539552,12070.24625539552,12070.24625539552,12070.24625539552,12070.24625539552
8,11949.543792841565,11949.543792841565,11949.543792841565,11949.543792841565,11949.543792841565,11949.543792841565,11949.543792841565,11949.543792841565,11949.543792841565,11949.543792841565,11949.543792841565,11949.543792841565,11949.543792841565,11949.543792841565,11949.543792841565,11949.543792841565,11949.543792841565,11949.543792841565
9,11830.04835491315,11830.04835491315,11830.04835491315,11830.04835491315,11830.04835491315,11830.04835491315,11830.04835491315,11830.04835491315,11830.04835491315,11830.04835491315,11830.04835491315,11830.04835491315,11830.04835491315,11830.04835491315,11830.04835491315,11830.04835491315,11830.04835491315,11830.04835491315
