,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
0,22400.0,22400.0,22400.0,22400.0,22400.0,22400.0,22400.0,22400.0,22400.0,22400.0,22400.0,22400.0,22400.0
1,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0
2,21954.239999999998,21954.239999999998,21954.239999999998,21954.239999999998,21954.239999999998,21954.239999999998,21954.239999999998,21954.239999999998,21954.239999999998,21954.239999999998,21954.239999999998,21954.239999999998,21954.239999999998
3,21734.6976,21734.6976,21734.6976,21734.6976,21734.6976,21734.6976,21734.6976,21734.6976,21734.6976,21734.6976,21734.6976,21734.6976,21734.6976
4,21517.350624,21517.350624,21517.350624,21517.350624,21517.350624,21517.350624,21517.350624,21517.350624,21517.350624,21517.350624,21517.350624,21517.350624,21517.350624
5,21302.17711776,21302.17711776,21302.17711776,21302.17711776,21302.17711776,21302.17711776,21302.17711776,21302.17711776,21302.17711776,21302.17711776,21302.17711776,21302.17711776,21302.17711776
6,21089.1553465824,21089.1553465824,21089.1553465824,21089.1553465824,21089.1553465824,21089.1553465824,21089.1553465824,21089.1553465824,21089.1553465824,21089.1553465824,21089.1553465824,21089.1553465824,21089.1553465824
7,20878.263793116574,20878.263793116574,20878.263793116574,20878.263793116574,20878.263793116574,20878.263793116574,20878.263793116574,20878.263793116574,20878.263793116574,20878.263793116574,20878.263793116574,20878.263793116574,20878.263793116574
8,20669.48115518541,20669.48115518541,20669.48115518541,20669.48115518541,20669.48115518541,20669.48115518541,20669.48115518541,20669.48115518541,20669.48115518541,20669.48115518541,20669.48115518541,20669.48115518541,20669.48115518541
9,20462.786343633554,20462.786343633554,20462.786343633554,20462.786343633554,20462.786343633554,20462.786343633554,20462.786343633554,20462.786343633554,20462.786343633554,20462.786343633554,20462.786343633554,20462.786343633554,20462.786343633554
10,20258.15848019722,20258.15848019722,20258.15848019722,20258.15848019722,20258.15848019722,20258.15848019722,20258.15848019722,20258.15848019722,20258.15848019722,20258.15848019722,20258.15848019722,20258.15848019722,20258.15848019722
11,20055.576895395247,20055.576895395247,20055.576895395247,20055.576895395247,20055.576895395247,20055.576895395247,20055.576895395247,20055.576895395247,20055.576895395247,20055.576895395247,20055.576895395247,20055.576895395247,20055.576895395247
12,19855.021126441294,19855.021126441294,19855.021126441294,19855.021126441294,19855.021126441294,19855.021126441294,19855.021126441294,19855.021126441294,19855.021126441294,0.0,0.0,19855.021126441294,19855.021126441294
13,19656.47091517688,19656.47091517688,19656.47091517688,19656.47091517688,19656.47091517688,19656.47091517688,19656.47091517688,19656.47091517688,19656.47091517688,0.0,0.0,19656.47091517688,19656.47091517688
14,19459.906206025113,19459.906206025113,19459.906206025113,19459.906206025113,19459.906206025113,19459.906206025113,19459.906206025113,19459.906206025113,0.0,0.0,0.0,0.0,0.0
15,19265.30714396486,19265.30714396486,19265.30714396486,19265.30714396486,19265.30714396486,19265.30714396486,19265.30714396486,19265.30714396486,0.0,0.0,0.0,0.0,0.0
16,19072.654072525213,19072.654072525213,19072.654072525213,19072.654072525213,19072.654072525213,19072.654072525213,19072.654072525213,19072.654072525213,0.0,0.0,0.0,0.0,0.0
17,18881.92753179996,18881.92753179996,18881.92753179996,18881.92753179996,18881.92753179996,18881.92753179996,18881.92753179996,18881.92753179996,0.0,0.0,0.0,0.0,0.0
18,18693.10825648196,18693.10825648196,18693.10825648196,18693.10825648196,18693.10825648196,18693.10825648196,18693.10825648196,0.0,0.0,0.0,0.0,0.0,0.0
19,18506.17717391714,18506.17717391714,18506.17717391714,18506.17717391714,18506.17717391714,18506.17717391714,18506.17717391714,0.0,0.0,0.0,0.0,0.0,0.0
20,18321.11540217797,18321.11540217797,18321.11540217797,18321.11540217797,18321.11540217797,18321.11540217797,18321.11540217797,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,18137.90424815619,18137.90424815619,18137.90424815619,18137.90424815619,18137.90424815619,18137.90424815619,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,17956.52520567463,17956.52520567463,17956.52520567463,17956.52520567463,17956.52520567463,17956.52520567463,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,17776.95995361788,17776.95995361788,17776.95995361788,17776.95995361788,17776.95995361788,17776.95995361788,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,17599.1903540817,17599.1903540817,17599.1903540817,17599.1903540817,17599.1903540817,17599.1903540817,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,17423.198450540884,17423.198450540884,17423.198450540884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,17248.966466035476,17248.966466035476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
