,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0
1,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0
2,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4,13721.4
3,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186,13584.186
4,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414,13448.34414
5,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986,13313.8606986
6,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614,13180.722091614
7,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786,13048.91487069786
8,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881,12918.425721990881
9,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972,12789.241464770972
10,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326,12661.34905012326
11,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203,12534.73555962203
12,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809,12409.388204025809
13,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555,12285.29432198555
