,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
0,14700.000000000002,14700.000000000002,14700.000000000002,14700.000000000002,14700.000000000002,14700.000000000002,14700.000000000002,14700.000000000002,14700.000000000002,14700.000000000002,14700.000000000002,14700.000000000002,14700.000000000002,14700.000000000002,14700.000000000002,14700.000000000002,14700.000000000002,14700.000000000002
1,14553.000000000002,14553.000000000002,14553.000000000002,14553.000000000002,14553.000000000002,14553.000000000002,14553.000000000002,14553.000000000002,14553.000000000002,14553.000000000002,14553.000000000002,14553.000000000002,14553.000000000002,14553.000000000002,14553.000000000002,14553.000000000002,14553.000000000002,14553.000000000002
2,14407.470000000001,14407.470000000001,14407.470000000001,14407.470000000001,14407.470000000001,14407.470000000001,14407.470000000001,14407.470000000001,14407.470000000001,14407.470000000001,14407.470000000001,14407.470000000001,14407.470000000001,14407.470000000001,14407.470000000001,14407.470000000001,14407.470000000001,14407.470000000001
3,14263.395300000002,14263.395300000002,14263.395300000002,14263.395300000002,14263.395300000002,14263.395300000002,14263.395300000002,14263.395300000002,14263.395300000002,14263.395300000002,14263.395300000002,14263.395300000002,14263.395300000002,14263.395300000002,14263.395300000002,14263.395300000002,14263.395300000002,14263.395300000002
4,14120.761347000001,14120.761347000001,14120.761347000001,14120.761347000001,14120.761347000001,14120.761347000001,14120.761347000001,14120.761347000001,14120.761347000001,14120.761347000001,14120.761347000001,14120.761347000001,14120.761347000001,14120.761347000001,14120.761347000001,14120.761347000001,14120.761347000001,14120.761347000001
5,13979.55373353,13979.55373353,13979.55373353,13979.55373353,13979.55373353,13979.55373353,13979.55373353,13979.55373353,13979.55373353,13979.55373353,13979.55373353,13979.55373353,13979.55373353,13979.55373353,13979.55373353,13979.55373353,13979.55373353,13979.55373353
6,13839.758196194702,13839.758196194702,13839.758196194702,13839.758196194702,13839.758196194702,13839.758196194702,13839.758196194702,13839.758196194702,13839.758196194702,13839.758196194702,13839.758196194702,13839.758196194702,13839.758196194702,13839.758196194702,13839.758196194702,13839.758196194702,13839.758196194702,13839.758196194702
7,13701.360614232754,13701.360614232754,13701.360614232754,13701.360614232754,13701.360614232754,13701.360614232754,13701.360614232754,13701.360614232754,13701.360614232754,13701.360614232754,13701.360614232754,13701.360614232754,13701.360614232754,13701.360614232754,13701.360614232754,13701.360614232754,13701.360614232754,13701.360614232754
8,13564.347008090426,13564.347008090426,13564.347008090426,13564.347008090426,13564.347008090426,13564.347008090426,13564.347008090426,13564.347008090426,13564.347008090426,13564.347008090426,13564.347008090426,13564.347008090426,13564.347008090426,13564.347008090426,13564.347008090426,13564.347008090426,13564.347008090426,13564.347008090426
9,13428.703538009522,13428.703538009522,13428.703538009522,13428.703538009522,13428.703538009522,13428.703538009522,13428.703538009522,13428.703538009522,13428.703538009522,13428.703538009522,13428.703538009522,13428.703538009522,13428.703538009522,13428.703538009522,13428.703538009522,13428.703538009522,13428.703538009522,13428.703538009522
