,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
0,21700.0,21700.0,21700.0,21700.0,21700.0,21700.0,21700.0,21700.0,21700.0,21700.0,21700.0,21700.0,21700.0,21700.0,21700.0,21700.0,21700.0,21700.0
1,21483.0,21483.0,21483.0,21483.0,21483.0,21483.0,21483.0,21483.0,21483.0,21483.0,21483.0,21483.0,21483.0,21483.0,21483.0,21483.0,21483.0,21483.0
2,21268.17,21268.17,21268.17,21268.17,21268.17,21268.17,21268.17,21268.17,21268.17,21268.17,21268.17,21268.17,21268.17,21268.17,21268.17,21268.17,21268.17,21268.17
3,21055.4883,21055.4883,21055.4883,21055.4883,21055.4883,21055.4883,21055.4883,21055.4883,21055.4883,21055.4883,21055.4883,21055.4883,21055.4883,21055.4883,21055.4883,21055.4883,21055.4883,21055.4883
4,20844.933417,20844.933417,20844.933417,20844.933417,20844.933417,20844.933417,20844.933417,20844.933417,20844.933417,20844.933417,20844.933417,20844.933417,20844.933417,20844.933417,20844.933417,20844.933417,20844.933417,20844.933417
5,20636.484082829997,20636.484082829997,20636.484082829997,20636.484082829997,20636.484082829997,20636.484082829997,20636.484082829997,20636.484082829997,20636.484082829997,20636.484082829997,20636.484082829997,20636.484082829997,20636.484082829997,20636.484082829997,20636.484082829997,20636.484082829997,20636.484082829997,20636.484082829997
6,20430.1192420017,20430.1192420017,20430.1192420017,20430.1192420017,20430.1192420017,20430.1192420017,20430.1192420017,20430.1192420017,20430.1192420017,20430.1192420017,20430.1192420017,20430.1192420017,20430.1192420017,20430.1192420017,20430.1192420017,20430.1192420017,20430.1192420017,20430.1192420017
7,20225.81804958168,20225.81804958168,20225.81804958168,20225.81804958168,20225.81804958168,20225.81804958168,20225.81804958168,20225.81804958168,20225.81804958168,20225.81804958168,20225.81804958168,20225.81804958168,20225.81804958168,20225.81804958168,20225.81804958168,20225.81804958168,20225.81804958168,20225.81804958168
8,20023.559869085864,20023.559869085864,20023.559869085864,20023.559869085864,20023.559869085864,20023.559869085864,20023.559869085864,20023.559869085864,20023.559869085864,20023.559869085864,20023.559869085864,20023.559869085864,20023.559869085864,20023.559869085864,20023.559869085864,20023.559869085864,20023.559869085864,20023.559869085864
9,19823.324270395005,19823.324270395005,19823.324270395005,19823.324270395005,19823.324270395005,19823.324270395005,19823.324270395005,19823.324270395005,19823.324270395005,19823.324270395005,19823.324270395005,19823.324270395005,19823.324270395005,19823.324270395005,19823.324270395005,19823.324270395005,19823.324270395005,19823.324270395005
