,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,95.70020006862791,99.1098318200545,100.54992606017346,101.6871989017007,101.50882323725934,98.06141413145207,104.20537357613382,104.25164379368559,96.33176611096584,101.84947948390229,97.71434287802062,101.99491705892001,94.64438061831366,96.88927303679392,97.6820470399017,97.60745231384688,98.31988334290868,98.97319152871535
2,93.6317524393426,99.57958084212277,99.8760081111323,99.98002311674891,102.29678488283042,98.29197928835858,110.82984217687564,113.9550665824105,98.54295940064607,105.99391497268338,96.11169141182839,99.02086540301893,93.26378810013787,97.49092578764882,94.24378277150547,99.27739603138042,98.6518306485257,98.87199602028346
3,98.42610528976459,105.83952778338248,97.37477119708159,104.49293264920362,103.54169939213821,98.05785252892856,112.03731028798107,106.72358663469103,98.50710930379589,102.20251345648317,85.53997022294007,98.60538016139539,93.70209280548445,100.95730056650658,96.04575043212907,97.0002606756942,104.25482983872382,100.4684217729952
4,96.09875833281471,105.9333137635377,94.0284044336429,102.76647712628775,101.91402605107768,97.55100759278311,118.4682758013896,109.03932205585032,103.11066121490336,101.11341606139162,91.07617114286488,95.93948438312563,89.8724481659436,102.93340680088916,98.22300728579548,96.22770796483698,99.59076994139149,103.57266069060593
5,94.45488187759533,112.83241016194732,97.20847994467866,101.68088526017335,103.33772258726101,98.83956344710752,122.43453520541303,113.24075784644616,101.72622285161728,96.86593748494242,86.23232098446029,94.91571025186985,88.46765338504935,102.40604534026755,97.42394865267585,97.36344613376374,95.20600889801388,103.53160677577937
6,94.52019017418309,111.47443977860627,97.65135727146223,102.93660744009196,104.44003374825404,99.11027315857922,129.8686582664803,123.24690243885847,102.86215951326909,99.54262245675147,83.66534485606934,102.78276467481852,84.85689279401616,101.4297321247956,96.81756370058655,99.35528159403222,94.84687055267526,102.20334516333867
7,93.43831358618122,107.98930408392017,96.41606609834732,100.47545094512647,104.7289103636801,98.73822611262032,128.2089753936215,120.42243690247996,98.72159489717505,103.33784100288084,78.9337829438639,100.00581490623806,89.13589416504891,96.55093079669032,96.82140469055905,97.92542772670437,92.31187624484097,100.12371871360273
8,91.73152460497978,104.28510725665025,95.29216443888885,100.06334572932771,102.98440648680258,98.82856978301913,125.05048586982635,121.40272675929286,99.75265294163943,101.04683776689657,78.09743382703833,101.10334604443578,85.04751038252375,100.03269450268522,102.50085214065123,100.9897943811404,92.72653137227866,95.6569553771586
9,87.99742745469645,100.69308226868215,95.36492650066397,101.89945405778957,102.02771818210728,99.44018359749833,123.4024753552607,124.04557410379762,104.06348780500907,98.42373638736905,83.69779965187467,100.55786655933645,92.67818472531519,101.46200054556643,105.6555192702836,101.86152645715498,90.99689745744335,80.64180294400988
10,88.62951456400616,106.5723250614615,98.05001951361514,100.72109698084448,104.66522377479043,103.59890547155655,130.27424875476748,120.91585729833965,110.30671001174521,99.22071072162645,84.27270191432711,97.17569888306458,97.32480675630372,106.3111116645518,104.20328760740504,99.12472060060772,89.71620357568487,75.35580670220216
11,86.42691432063157,106.02588918018594,99.18570970978641,102.13656997547164,107.48915041305511,108.01410808984029,132.13074096338366,126.20287370205088,114.51291390244363,99.7771833830732,83.97343490805248,94.09398618547863,98.4486570400271,109.40735135427404,102.00877569904243,96.04150166260503,84.24973804484091,70.32784824636059
12,81.2924552353325,99.80598256604632,90.83171627497696,99.18736320323643,102.41754282005712,102.63481771881966,135.68748241201428,134.41849413962024,109.57467332187795,93.39336816510804,75.16107538417538,94.8297778714345,94.30308504877686,109.11260725453874,92.48718350920247,91.38569345601852,82.15925846246672,77.95346645251063
13,80.56881566613114,100.35484167378918,92.36422799436428,100.68392518767169,100.43209080803348,106.95099522308003,141.45643083679292,129.4877093844613,111.60123442451903,91.2587159941858,76.660476498682,89.75105590814181,91.3695735550294,106.58342834484178,90.27438354016483,89.85030719806552,81.31564023662946,76.1076631276274
14,80.95068617961438,99.68223124305975,90.81357092906175,101.46548356696647,100.66822997633633,113.75000649629183,154.62276092660738,132.4599621069658,116.14248607238689,89.7619458099614,74.4251472916259,88.44184308984607,91.9369506603664,102.83184855729344,91.81886745070045,90.15365954521218,81.23249875730451,71.39853763843666
15,86.03955074459347,97.18584716468676,94.91272411132739,102.7002814428834,100.42844310224388,114.98928919113777,144.8105478444172,132.4117729466322,111.98807024668977,79.88865931863421,74.1128641159591,88.8574864683263,95.205849016182,104.79802245368346,89.71280909553401,95.27399920950985,82.54411031763634,66.58085604137496
16,86.1157916705282,93.84597293617318,93.3445549291388,101.08583517432339,99.90934497273581,121.58969892338476,147.95271093671147,138.5997981024785,110.79469533386114,85.05910382613968,72.10914818039022,85.22584296338441,97.069378159046,107.17368417334698,88.9982968521382,91.01171572912861,85.0945299932486,59.558693979580305
17,91.72423652184773,97.01987854630462,92.35849320540551,102.49796222857948,101.2290522165989,125.6604620329598,153.6535333861283,136.73885690225816,106.14053455930019,80.5352690143347,71.33966853383338,83.89367919311287,96.57206003232153,106.30181046525769,90.04870909661753,87.00467144324863,85.06080040125728,56.27987036704445
18,90.62030905586114,97.4618966138632,93.49908721307115,103.59131560346341,101.50630645126346,133.29046068567888,167.2306190700784,138.26576585723043,109.07350337301575,78.13788354803611,77.25263123917995,80.46960294516686,95.65136655039257,105.64016803403389,91.89090161395741,86.67647037589448,83.96951051003441,60.393029245745254
