,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0
1,10741.5,10741.5,10741.5,10741.5,10741.5,10741.5,10741.5,10741.5,10741.5,10741.5,10741.5,10741.5,10741.5
2,10634.085,10634.085,10634.085,10634.085,10634.085,10634.085,10634.085,10634.085,10634.085,10634.085,10634.085,10634.085,10634.085
3,10527.74415,10527.74415,10527.74415,10527.74415,10527.74415,10527.74415,10527.74415,10527.74415,10527.74415,10527.74415,10527.74415,10527.74415,10527.74415
4,10422.4667085,10422.4667085,10422.4667085,10422.4667085,10422.4667085,10422.4667085,10422.4667085,10422.4667085,10422.4667085,10422.4667085,10422.4667085,10422.4667085,10422.4667085
5,10318.242041414998,10318.242041414998,10318.242041414998,10318.242041414998,10318.242041414998,10318.242041414998,10318.242041414998,10318.242041414998,10318.242041414998,10318.242041414998,10318.242041414998,10318.242041414998,10318.242041414998
6,10215.05962100085,10215.05962100085,10215.05962100085,10215.05962100085,10215.05962100085,10215.05962100085,10215.05962100085,10215.05962100085,10215.05962100085,10215.05962100085,10215.05962100085,10215.05962100085,10215.05962100085
7,10112.90902479084,10112.90902479084,10112.90902479084,10112.90902479084,10112.90902479084,10112.90902479084,10112.90902479084,10112.90902479084,10112.90902479084,10112.90902479084,10112.90902479084,10112.90902479084,10112.90902479084
8,10011.779934542932,10011.779934542932,10011.779934542932,10011.779934542932,10011.779934542932,10011.779934542932,10011.779934542932,10011.779934542932,10011.779934542932,10011.779934542932,10011.779934542932,10011.779934542932,10011.779934542932
9,9911.662135197503,9911.662135197503,9911.662135197503,9911.662135197503,9911.662135197503,9911.662135197503,9911.662135197503,9911.662135197503,9911.662135197503,9911.662135197503,9911.662135197503,9911.662135197503,9911.662135197503
10,9812.545513845527,9812.545513845527,9812.545513845527,9812.545513845527,9812.545513845527,9812.545513845527,9812.545513845527,9812.545513845527,9812.545513845527,9812.545513845527,9812.545513845527,9812.545513845527,9812.545513845527
11,9714.420058707074,9714.420058707074,9714.420058707074,9714.420058707074,9714.420058707074,9714.420058707074,9714.420058707074,9714.420058707074,9714.420058707074,9714.420058707074,9714.420058707074,9714.420058707074,9714.420058707074
12,9617.275858120001,9617.275858120001,9617.275858120001,9617.275858120001,9617.275858120001,9617.275858120001,9617.275858120001,9617.275858120001,9617.275858120001,9617.275858120001,9617.275858120001,9617.275858120001,9617.275858120001
13,9521.103099538801,9521.103099538801,9521.103099538801,9521.103099538801,9521.103099538801,9521.103099538801,9521.103099538801,9521.103099538801,9521.103099538801,9521.103099538801,9521.103099538801,9521.103099538801,9521.103099538801
14,9425.892068543413,9425.892068543413,9425.892068543413,9425.892068543413,9425.892068543413,9425.892068543413,9425.892068543413,9425.892068543413,9425.892068543413,9425.892068543413,9425.892068543413,9425.892068543413,9425.892068543413
15,9331.63314785798,9331.63314785798,9331.63314785798,9331.63314785798,9331.63314785798,9331.63314785798,9331.63314785798,9331.63314785798,9331.63314785798,9331.63314785798,9331.63314785798,9331.63314785798,9331.63314785798
16,9238.3168163794,9238.3168163794,9238.3168163794,9238.3168163794,9238.3168163794,9238.3168163794,9238.3168163794,9238.3168163794,9238.3168163794,9238.3168163794,9238.3168163794,9238.3168163794,9238.3168163794
17,9145.933648215605,9145.933648215605,9145.933648215605,9145.933648215605,9145.933648215605,9145.933648215605,9145.933648215605,9145.933648215605,9145.933648215605,9145.933648215605,9145.933648215605,9145.933648215605,9145.933648215605
18,9054.47431173345,9054.47431173345,9054.47431173345,9054.47431173345,9054.47431173345,9054.47431173345,9054.47431173345,9054.47431173345,9054.47431173345,9054.47431173345,9054.47431173345,9054.47431173345,9054.47431173345
19,8963.929568616115,8963.929568616115,8963.929568616115,8963.929568616115,8963.929568616115,8963.929568616115,8963.929568616115,8963.929568616115,8963.929568616115,8963.929568616115,8963.929568616115,8963.929568616115,8963.929568616115
20,8874.290272929953,8874.290272929953,8874.290272929953,8874.290272929953,8874.290272929953,8874.290272929953,8874.290272929953,8874.290272929953,8874.290272929953,8874.290272929953,8874.290272929953,8874.290272929953,8874.290272929953
21,8785.547370200653,8785.547370200653,8785.547370200653,8785.547370200653,8785.547370200653,8785.547370200653,8785.547370200653,8785.547370200653,8785.547370200653,8785.547370200653,8785.547370200653,8785.547370200653,8785.547370200653
22,8697.691896498647,8697.691896498647,8697.691896498647,8697.691896498647,8697.691896498647,8697.691896498647,8697.691896498647,8697.691896498647,8697.691896498647,8697.691896498647,8697.691896498647,8697.691896498647,8697.691896498647
23,8610.71497753366,8610.71497753366,8610.71497753366,8610.71497753366,8610.71497753366,8610.71497753366,8610.71497753366,8610.71497753366,8610.71497753366,8610.71497753366,8610.71497753366,8610.71497753366,8610.71497753366
24,8524.607827758324,8524.607827758324,8524.607827758324,8524.607827758324,8524.607827758324,8524.607827758324,8524.607827758324,8524.607827758324,8524.607827758324,0.0,0.0,8524.607827758324,8524.607827758324
25,8439.36174948074,8439.36174948074,8439.36174948074,8439.36174948074,8439.36174948074,8439.36174948074,8439.36174948074,8439.36174948074,8439.36174948074,0.0,0.0,8439.36174948074,8439.36174948074
26,8354.968131985932,8354.968131985932,8354.968131985932,8354.968131985932,8354.968131985932,8354.968131985932,8354.968131985932,8354.968131985932,8354.968131985932,0.0,0.0,8354.968131985932,8354.968131985932
27,8271.418450666073,8271.418450666073,8271.418450666073,8271.418450666073,8271.418450666073,8271.418450666073,8271.418450666073,8271.418450666073,8271.418450666073,0.0,0.0,8271.418450666073,8271.418450666073
28,8188.704266159413,8188.704266159413,8188.704266159413,8188.704266159413,8188.704266159413,8188.704266159413,8188.704266159413,8188.704266159413,0.0,0.0,0.0,8188.704266159413,8188.704266159413
29,8106.817223497818,8106.817223497818,8106.817223497818,8106.817223497818,8106.817223497818,8106.817223497818,8106.817223497818,8106.817223497818,0.0,0.0,0.0,8106.817223497818,8106.817223497818
