,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0,17850.0
1,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5,17671.5
2,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785,17494.785
3,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715,17319.83715
4,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785,17146.6387785
5,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997,16975.172390714997
6,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785,16805.42066680785
7,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977,16637.36646013977
8,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372,16470.992795538372
9,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299,16306.28286758299
10,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159,16143.220038907159
11,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087,15981.787838518087
12,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907,15821.969960132907
13,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577,15663.750260531577
