Date,Mkt,RF,CPI
1980-01-01,0.0,0.017499999999999998,19.3625994386267
1980-02-01,-0.02051305051910901,0.017499999999999998,20.2020781352782
1980-03-01,0.01207258123426924,0.017499999999999998,20.9536811872365
1980-04-01,0.10040540219242114,0.017499999999999998,21.1081292900305
1980-05-01,-0.0034515523091469065,0.017499999999999998,21.7711909727148
1980-06-01,-0.02689488021432505,0.016666666666666666,22.0368150805371
1980-07-01,0.0007988284275147834,0.016666666666666666,22.2138978190853
1980-08-01,-0.006140721472300964,0.016666666666666666,22.589366482774
1980-09-01,-0.015020294078940883,0.015,23.0094386933902
1980-10-01,-0.042957636922173734,0.015,23.6505314649012
1980-11-01,0.012316237102586985,0.013333333333333334,23.7830106565219
1980-12-01,-0.0014025903463530925,0.013333333333333334,24.5346137084802
1981-01-01,-0.014799723396875549,0.013333333333333334,24.9320512833422
1981-02-01,-0.015311303904448069,0.013333333333333334,25.1311029330637
1981-03-01,0.0350580668392826,0.013333333333333334,25.6177476017808
1981-04-01,0.13073418800346132,0.013333333333333334,25.8387681626755
1981-05-01,0.0329479380893491,0.013333333333333334,26.4132884760857
1981-06-01,0.17571214740628077,0.013333333333333334,27.1422568922898
1981-07-01,-0.018066734300102676,0.013333333333333334,27.4078810001121
1981-08-01,-0.055531267930791745,0.013333333333333334,27.6954740191077
1981-09-01,-0.05728438222205117,0.013333333333333334,28.0489737716231
1981-10-01,-0.08680525517090572,0.013333333333333334,27.9824013135223
1981-11-01,0.0875608275529035,0.010833333333333334,27.7394118414542
1981-12-01,-0.008342862194157235,0.009166666666666667,27.8938599442482
1982-01-01,-0.043825357681697354,0.004166666666666667,28.0270048604498
1982-02-01,0.016337524506389867,0.004166666666666667,28.1594840520705
1982-03-01,0.0007043080464873038,0.004583333333333333,28.4244424353118
1982-04-01,-0.05161037755453245,0.004583333333333333,28.4690459822394
1982-05-01,-0.0579048887198635,0.004166666666666667,28.6900665431341
1982-06-01,0.07618812735838107,0.004166666666666667,28.8664835571013
1982-07-01,0.00957869439904394,0.004166666666666667,28.9330560152022
1982-08-01,-0.023423691183289616,0.004166666666666667,29.0215973844762
1982-09-01,-0.018456969216391627,0.004166666666666667,29.1540765760969
1982-10-01,-0.007209957457075561,0.004166666666666667,29.0875041179961
1982-11-01,0.03967367032421971,0.004166666666666667,28.9110871040289
1982-12-01,0.042199017846622215,0.004166666666666667,29.242617945371
1983-01-01,-0.08676473571401933,0.004166666666666667,29.4636385062658
1983-02-01,0.043271009805006394,0.004166666666666667,29.6620244314062
1983-03-01,-0.03041747038668293,0.004166666666666667,29.7725347118536
1983-04-01,0.07993996706779036,0.004166666666666667,29.6846590671605
1983-05-01,-0.03138832406824278,0.004166666666666667,29.7725347118536
1983-06-01,-0.026754214603684708,0.004166666666666667,29.7505658006804
1983-07-01,0.02053261042372382,0.004166666666666667,29.7505658006804
1983-08-01,-0.050543981573340294,0.004166666666666667,29.7725347118536
1983-09-01,-0.009385770503206079,0.004166666666666667,29.8171382587812
1983-10-01,0.031031637277898715,0.004166666666666667,29.7951693476079
1983-11-01,-0.03171150472993812,0.004166666666666667,29.7285968895071
1983-12-01,0.029980473510070625,0.004166666666666667,29.8171382587812
1984-01-01,0.023401940385862678,0.004166666666666667,29.9935552727484
1984-02-01,0.04398912087856631,0.004166666666666667,30.2591793805707
1984-03-01,0.01871926914341322,0.004166666666666667,30.3696896610181
1984-04-01,0.02607446661603242,0.004166666666666667,30.4582310302922
1984-05-01,-0.03848941719353676,0.004166666666666667,30.4136274833646
1984-06-01,0.013474112425650404,0.004166666666666667,30.2591793805707
1984-07-01,0.017167481859051013,0.004166666666666667,30.2591793805707
1984-08-01,0.011601829746522716,0.004166666666666667,30.4136274833646
1984-09-01,-0.014579351672391291,0.004166666666666667,30.767792960461
1984-10-01,-0.03273515506626856,0.004166666666666667,30.6126791330861
1984-11-01,0.043117924102644346,0.004166666666666667,30.5467723995663
1984-12-01,0.04979445884224091,0.004166666666666667,30.5467723995663
1985-01-01,-0.025307008789909654,0.004166666666666667,30.6266593492873
1985-02-01,-0.028998124317602098,0.004166666666666667,30.844351287277
1985-03-01,0.001111070074671052,0.005625000000000001,30.8756403425844
1985-04-01,-0.006908618645733847,0.004166666666666667,30.9069293978918
1985-05-01,-0.0004473605800825157,0.004166666666666667,31.1252870604625
1985-06-01,0.022928499000234095,0.005483333333333333,31.1559103911889
1985-07-01,0.0013110934939506993,0.004166666666666667,31.1559103911889
1985-08-01,-0.007672391587697146,0.004166666666666667,31.2184885018037
1985-09-01,0.01874782421125943,0.005066666666666666,31.561336661023
1985-10-01,0.014153202655887412,0.004166666666666667,31.6545381023641
1985-11-01,0.054892459413236616,0.004166666666666667,31.2810666124185
1985-12-01,0.09314566355999548,0.004516666666666666,31.4674694951008
1986-01-01,-0.018222191099638796,0.004166666666666667,31.7484052682863
1986-02-01,0.09217712467203577,0.004166666666666667,31.9348081509686
1986-03-01,0.12714414536070373,0.004166666666666667,31.9973862615834
1986-04-01,0.015645885008015264,0.004166666666666667,31.966097206276
1986-05-01,0.12300977102235137,0.004166666666666667,32.1531658135393
1986-06-01,0.05876952650909851,0.004166666666666667,32.0905877029246
1986-07-01,0.11767345261972773,0.005833333333333334,32.121876758232
1986-08-01,-0.033315988621199784,0.005833333333333334,32.0905877029246
1986-09-01,-0.04373272759115239,0.005833333333333334,32.2776563101879
1986-10-01,-0.051241380585216205,0.005833333333333334,31.966097206276
1986-11-01,0.10144905927275726,0.005833333333333334,31.9041848202422
